PORCENTAJE DE LOGRO,NEM,PSU LENGUAJE,Extranjero,HC DIURNO,HC NOCTURNO,Municipal,Particular,Subvencionado,TP COMERCIAL,TP INDUSTRIAL,5% Colegios Municipalizados,BEA (BECA EXCELENCIA ACADÉMICA),Bachillerato,DEPORTISTA DESTACADO,EDT,EQUIDAD DE GÉNERO,PAA o PSU,PACE,S/I,SIPEE
0.5,605.0,451.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5208333333333334,706.0,591.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.5208333333333334,668.0,646.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.5208333333333334,688.0,595.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,685.0,726.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,675.0,660.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,673.0,760.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,665.0,711.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,655.0,586.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5208333333333334,648.0,620.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,648.0,571.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5208333333333334,648.0,726.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,645.0,684.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5208333333333334,610.0,595.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5208333333333334,613.0,660.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5208333333333334,570.0,743.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5416666666666666,680.0,630.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,675.0,721.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,673.0,612.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,668.0,660.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,663.0,571.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,660.0,672.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.5416666666666666,658.0,630.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,655.0,672.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,655.0,743.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,653.0,639.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,648.0,672.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,648.0,684.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,643.0,711.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,640.0,639.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.5416666666666666,638.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,638.0,563.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,637.0,650.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,628.0,672.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5416666666666666,628.0,697.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
